epoch,time_s,train_loss,train_auroc,train_auprc,val_loss,val_auroc,val_auprc
1,0.6190109252929688,0.9569444060325623,0.7092459156738247,0.46892115668714507,0.6532330960035324,0.9116954474097331,0.8298253097936067
2,0.44919300079345703,0.5494434353378084,0.9191339088249982,0.8050605920712114,0.7626948058605194,0.9038461538461539,0.8210265122242133
3,0.44188690185546875,0.4237157785230213,0.9449061853463652,0.874100170119025,0.7924890220165253,0.9313186813186813,0.8566832150336803
4,0.43996691703796387,0.35303212536705864,0.9686095455518299,0.9324479127099234,0.5644852481782436,0.9379905808477237,0.8737945637353363
5,0.45975685119628906,0.33665960282087326,0.9695191553114075,0.9230854363387417,0.6979567483067513,0.9336734693877551,0.8703148112434065
6,0.44213104248046875,0.38719969532556003,0.964204180637797,0.9328696104593124,0.7132887989282608,0.9395604395604396,0.8782347179780979
7,0.4431312084197998,0.31571367093258434,0.9734964685738746,0.9420734698604744,0.5602080971002579,0.9427001569858713,0.8919626478158674
8,0.4447307586669922,0.2928756498214271,0.9800599272312193,0.9453809028336726,0.6034770607948303,0.9423076923076923,0.8886791342477794
9,0.44086289405822754,0.25598325538966393,0.9831989726760363,0.9603612517967133,0.6334188356995583,0.9434850863422292,0.8921036018609115
10,0.4458320140838623,0.26816222216520047,0.9772062495541128,0.9477764967241356,0.6390315443277359,0.9438775510204082,0.8915605908649388
11,0.44855594635009766,0.27951220360894996,0.9790789755297139,0.9524261692901328,0.6965303868055344,0.9513343799058085,0.9098465465515613
12,0.44409894943237305,0.4530253280988998,0.9479917243347364,0.9010143110000948,0.46399449557065964,0.9474097331240189,0.9050622253385292
13,0.4410059452056885,0.33586720873912174,0.9670043518584576,0.9449934826568108,0.5393103584647179,0.9536891679748822,0.9080325246609523
14,0.4484889507293701,0.2951648682355881,0.9777591496040522,0.9466169954181815,0.6048298627138138,0.9505494505494505,0.9085025263143535
15,0.43813419342041016,0.2608039581941234,0.9793465078119427,0.9591028685805949,0.5267122536897659,0.9474097331240189,0.9126773113325101
16,0.43976902961730957,0.25231921300292015,0.9824677177712777,0.9627909497280444,0.40240418538451195,0.9611459968602826,0.9299635331248709
17,0.4664340019226074,0.21658379481070572,0.9877648569594064,0.9719459277397917,0.4225235655903816,0.9603610675039247,0.9343602707012896
18,0.4388389587402344,0.21566596627235413,0.9889598344866948,0.9742588099033805,0.480783648788929,0.9595761381475667,0.93604666732742
19,0.445803165435791,0.18466729443106386,0.9902796604123564,0.973159886188205,0.6470622345805168,0.957221350078493,0.9320760566313026
20,0.43611598014831543,0.20962336297250456,0.9913676250267532,0.9790906260194409,0.5051512122154236,0.9603610675039247,0.9397082849983364
21,0.4750039577484131,0.18925542446474233,0.9916173218235,0.9775558110829721,0.46257834881544113,0.9603610675039247,0.9411267094090839
22,0.44260716438293457,0.1675455610578259,0.9900477991010915,0.9811483738947443,0.4716549292206764,0.956436420722135,0.9358873511216478
23,0.4416069984436035,0.16394637152552605,0.9915459798815723,0.9822507813927541,0.5237412974238396,0.9536891679748822,0.9330770310175075
24,0.44211483001708984,0.16942399605694744,0.9938824284797032,0.9838879902380938,0.5574573799967766,0.9552590266875981,0.937128500214277
25,0.43916988372802734,0.16816280554566118,0.9891916957979596,0.9773726336844852,0.5071409195661545,0.957613814756672,0.9401980304683295
26,0.44066405296325684,0.1522432486785369,0.9927409574088607,0.9810367121300019,0.5365748628973961,0.9580062794348508,0.9402814333040259
27,0.43819093704223633,0.19493163133867913,0.9898872797317543,0.9775721309663715,0.5471238940954208,0.9583987441130298,0.9406772308042655
28,0.4458637237548828,0.1830028862071534,0.9907612185203681,0.9782797781449526,0.5294522941112518,0.9580062794348508,0.9402814333040259
29,0.44497179985046387,0.1815210109990504,0.9911357637154883,0.9714479123848521,0.5386456251144409,0.957613814756672,0.9395660108936149
30,0.47754788398742676,0.1858457075431943,0.9925447670685597,0.9804466183089655,0.5389114990830421,0.957613814756672,0.9395660108936149
31,0.49405908584594727,0.2616540375683043,0.98574944709995,0.9653633192014425,0.4625335521996021,0.9560439560439561,0.9378329017953402
