epoch,time_s,train_loss,train_auroc,train_auprc,val_loss,val_auroc,val_auprc
1,0.41530609130859375,1.0026696390575833,0.6677962474138546,0.3513946619952187,0.7772747576236725,0.8461538461538461,0.7459789745179052
2,0.3358442783355713,0.6718460437324312,0.8825711635870729,0.7323563501313588,0.6330913230776787,0.8846153846153846,0.8032187489928512
3,0.33834099769592285,0.54417924500174,0.9225404865520439,0.7883792340353248,0.6018151417374611,0.9101255886970173,0.8349992014902387
4,0.3337280750274658,0.4782102207342784,0.9395733751872726,0.8381719686307195,0.6702566295862198,0.9285714285714286,0.84842714698363
5,0.3360562324523926,0.527090348303318,0.9324570164799886,0.8065883169741437,0.5542223900556564,0.923469387755102,0.8568811928204896
6,0.33667421340942383,0.43790390259689754,0.9493828922023257,0.8391099553348972,0.5836211591959,0.9226844583987441,0.8567424262721719
7,0.3330979347229004,0.452699460917049,0.9464222016123279,0.8378445696966549,0.5551922172307968,0.9254317111459969,0.8572942847307427
8,0.3386540412902832,0.43530157374011147,0.9518620246843119,0.8558723523834151,0.5176676400005817,0.9321036106750392,0.8633315403513878
9,0.34168410301208496,0.42582992940313286,0.9508275665263608,0.8699316665682516,0.5231292806565762,0.9277864992150706,0.8604593466455651
10,0.3346579074859619,0.3863949825366338,0.9628665192266533,0.8881302845278002,0.5131688825786114,0.9289638932496075,0.8620920994255826
11,0.3356039524078369,0.4259788758224911,0.9523079118213598,0.8764316219538503,0.619207002222538,0.9301412872841445,0.8663886836874496
12,0.33527517318725586,0.4584945879048771,0.9480987372476278,0.8526204969724893,0.5191153436899185,0.9356357927786499,0.8725419147066343
13,0.3347611427307129,0.4459766820073128,0.9516301633730471,0.8607269984916989,0.6346650794148445,0.9281789638932496,0.8760078322908237
14,0.33874082565307617,0.39923300552699303,0.9614218449026183,0.9018789817090014,0.49998631328344345,0.945054945054945,0.8857717498928223
15,0.3380739688873291,0.4312711763713095,0.9622066062638225,0.8884943844566918,0.48691122978925705,0.9411302982731554,0.8880789196616046
16,0.33577799797058105,0.43860648241308,0.9500963116216024,0.8545623286935118,0.4809693284332752,0.9430926216640503,0.8921065244810891
17,0.336651086807251,0.3360689588718944,0.9720517942498395,0.9167150365301231,0.5057257264852524,0.9434850863422292,0.891943939803035
18,0.33540773391723633,0.32369789398378795,0.9728543910965256,0.9215887688864128,0.5066448338329792,0.9466248037676609,0.904596477584143
19,0.33433103561401367,0.33823055235875976,0.9692516230291789,0.9006798458398555,0.5475288406014442,0.945447409733124,0.9048929955239504
20,0.3376898765563965,0.3105921645959218,0.9738888492544767,0.9219819676468615,0.47912507876753807,0.9466248037676609,0.897062165052606
21,0.336226224899292,0.3301839128964477,0.9729792394948991,0.9281017330357009,0.5611642003059387,0.9474097331240189,0.908407991816049
22,0.36331796646118164,0.340968433353636,0.9703039166726118,0.9274449603575102,0.48512961715459824,0.9509419152276295,0.9157011296276218
23,0.37618303298950195,0.2854895301991039,0.9763679817364629,0.929964414787667,0.4504856504499912,0.9521193092621664,0.9117739455799063
24,0.3371708393096924,0.29714173844291103,0.9776164657201969,0.9387360441323859,0.44701331853866577,0.9532967032967034,0.9140966098458184
25,0.3359198570251465,0.25956864489449394,0.9825033887422415,0.9477965646900041,0.4537157118320465,0.9521193092621664,0.912853571364104
26,0.338123083114624,0.28132453974750304,0.9817186273810373,0.9493069240696491,0.4502449072897434,0.9529042386185244,0.9121012790319172
27,0.3356599807739258,0.27228405243820614,0.9810943853891703,0.9439619195797111,0.4468717873096466,0.9532967032967034,0.914346950027588
28,0.3382561206817627,0.23866016873055035,0.9858742954983235,0.9570684049687787,0.4545862637460232,0.9529042386185244,0.9144383145482261
29,0.33559584617614746,0.21651621576812533,0.9889598344866948,0.9679465143842039,0.4521450102329254,0.9529042386185244,0.9131381588187969
30,0.34069395065307617,0.264080489675204,0.9817899693229649,0.9504058399105324,0.45228636264801025,0.9529042386185244,0.9131381588187969
31,0.3349289894104004,0.2857033784190814,0.9779375044588714,0.9338909708257878,0.536739993840456,0.9474097331240189,0.9067165956314845
32,0.33682799339294434,0.33925643987539744,0.9741563815367055,0.9251990095882738,0.5816991850733757,0.9438775510204082,0.9005738854086066
33,0.3348870277404785,0.38698278760744464,0.9737461653706214,0.9270003558645092,0.5505679324269295,0.9493720565149136,0.895778582050714
34,0.33832502365112305,0.307484303911527,0.9739245202254405,0.9093516549224117,0.5155495032668114,0.9489795918367347,0.8989841773260725
35,0.33791685104370117,0.320827405485842,0.9771527430976671,0.9373792204010918,0.5346644930541515,0.9513343799058085,0.9050469704994428
36,0.3355419635772705,0.33437124350004727,0.9795605336377257,0.9461813856869303,0.9080546051263809,0.957613814756672,0.899719165860397
37,0.3350803852081299,0.3803972448739741,0.9626881643718342,0.9245349796321893,0.6185099706053734,0.9540816326530612,0.8977275444419947
38,0.3429892063140869,0.3119967956509855,0.9785082399942926,0.9502630360931194,0.5818400606513023,0.9517268445839875,0.8972170322084871
39,0.35415077209472656,0.2877258252766397,0.9795605336377257,0.9441339285449534,0.4904123656451702,0.9552590266875981,0.9042511416525336
40,0.33780789375305176,0.2883309055533674,0.9783120496539915,0.9337370195924725,0.4898417219519615,0.9540816326530612,0.9050761542127468
41,0.33789682388305664,0.3640138544142246,0.9715880716273096,0.9103616274163685,0.5473014414310455,0.9501569858712716,0.8993624670458401
42,0.3439009189605713,0.2701624540819062,0.9822893629164586,0.9384182091316527,0.4559701606631279,0.9552590266875981,0.9105141983360548
43,0.3341491222381592,0.21825780864391062,0.9868552471998288,0.957962171846464,0.5432424955070019,0.9544740973312402,0.9003306775586918
44,0.3382151126861572,0.262616650822262,0.9825033887422415,0.9453341523320277,0.5954435095191002,0.9544740973312402,0.9036529120088242
45,0.3362889289855957,0.25464069398327005,0.9833773275308554,0.9469828447477164,0.5037882924079895,0.9591836734693877,0.9083937287748673
46,0.33696722984313965,0.29505039151344037,0.9803452949989299,0.9463545416728859,0.4492490030825138,0.9591836734693877,0.9079414607464438
47,0.3414320945739746,0.22122646102474797,0.9863201826353714,0.9625134415368554,0.4804130718111992,0.9603610675039247,0.9133759955043251
48,0.33646512031555176,0.1868186899357372,0.9880858956980809,0.9620884957331888,0.5693107023835182,0.9587912087912088,0.9155871603279727
49,0.3345630168914795,0.25941962003707886,0.9835735178711564,0.9569067520883278,0.5314338430762291,0.9607535321821036,0.9181056392976675
50,0.3384981155395508,0.20945460576977995,0.9867125633159735,0.9551962754918741,0.575402557849884,0.957613814756672,0.9064261998808514
51,0.33508777618408203,0.2583779541568624,0.9849646857387458,0.9521322111836014,0.5443134382367134,0.9548665620094191,0.8987737090161528
52,0.3343019485473633,0.2700166424943341,0.9852143825354926,0.9612139989296015,0.48980803042650223,0.9611459968602826,0.9186339434385055
53,0.34892702102661133,0.18727103744943938,0.9917064992509096,0.9770035686476886,0.5013364180922508,0.9611459968602826,0.9162107328955665
54,0.33577775955200195,0.21653736227502426,0.9891381893415139,0.9706093424099024,0.4969804920256138,0.9627158555729984,0.9195106994167631
55,0.33615612983703613,0.19729272772868475,0.9902083184704288,0.9691972267651124,0.536712110042572,0.9615384615384616,0.9206778375317998
56,0.3362560272216797,0.2512947116047144,0.9867303988014554,0.9632617247334484,0.5175921283662319,0.9619309262166404,0.918990272666828
57,0.33585691452026367,0.16833826444215244,0.9926339444959692,0.9771614447546305,0.5100502967834473,0.9623233908948194,0.9218151825453093
58,0.3660390377044678,0.18471071206861073,0.9906898765784404,0.9730738430239079,0.4980800859630108,0.9635007849293563,0.9206112678492644
59,0.34209704399108887,0.19198450984226334,0.991421131483199,0.9701846401232683,0.5241027809679508,0.9627158555729984,0.9172752704266156
