epoch,time_s,train_loss,train_auroc,val_loss,val_auroc,val_auprc
1,0.5840620994567871,0.8140796687867906,0.8060390953841764,0.6860425174236298,0.9199372056514915,0.8245481049463973
2,0.49950718879699707,0.5139333125617769,0.927748448312763,0.6251261681318283,0.9246467817896389,0.8524610011909473
3,0.4943668842315674,0.4036465502447552,0.9537347506599129,0.542582631111145,0.9513343799058085,0.9024510648532326
4,0.5164151191711426,0.3153766584065225,0.9730505814368267,0.4726410284638405,0.9599686028257457,0.9127607129755902
5,0.4748380184173584,0.30915722457898986,0.972123136191767,0.634451612830162,0.9595761381475667,0.9162696992513873
6,0.4740941524505615,0.3138229898694489,0.9709459941499607,0.6632883101701736,0.9623233908948196,0.9257716903539972
7,0.48340725898742676,0.38257490740054184,0.9689484197759863,0.42994424700737,0.957221350078493,0.9241148819787178
8,0.47426939010620117,0.3085663119951884,0.972569023328815,0.5257919207215309,0.958006279434851,0.9230507143070051
9,0.4756462574005127,0.29004546544618076,0.978026681886281,0.5032340958714485,0.9587912087912088,0.9249108333546242
10,0.4728381633758545,0.2489971692363421,0.9799529143183278,0.5295672938227654,0.9595761381475667,0.9256432792081409
11,0.4859280586242676,0.31388807276056874,0.9726403652707426,0.5464966222643852,0.9458398744113029,0.9138858847152993
12,0.4928619861602783,0.2777726819945706,0.976742526931583,0.4931379482150078,0.9646781789638933,0.9448750142139659
13,0.47927093505859375,0.2681091958656907,0.9757615752300778,0.8164585679769516,0.9481946624803768,0.9108005677119497
14,0.4748821258544922,0.27498367946181035,0.9765106656203182,0.455143004655838,0.9619309262166404,0.9345901052799873
15,0.4723498821258545,0.20856874487880203,0.9880858956980808,0.4421190321445465,0.9701726844583987,0.9487470140751347
16,0.48999619483947754,0.23146091712017855,0.9887101376899479,0.5345826931297779,0.966248037676609,0.9414997741716148
17,0.47525930404663086,0.22112083564408952,0.9865877149176001,0.6154438480734825,0.9623233908948196,0.9459544871529503
18,0.4756312370300293,0.313533877953887,0.9818969822358565,0.4111143723130226,0.9603610675039247,0.9467889670638906
19,0.47444987297058105,0.18097094198067984,0.9931155026039808,0.39978884905576706,0.9599686028257457,0.9472562817835136
20,0.4829089641571045,0.14786667180144125,0.9927409574088607,0.6527168527245522,0.9536891679748822,0.9333423041084331
21,0.4744889736175537,0.1400663492580255,0.9961118641649426,0.5004663988947868,0.9587912087912088,0.9446757820748147
22,0.4896810054779053,0.18177312172742355,0.9896910893914532,0.4890793077647686,0.9603610675039247,0.9488150001750312
23,0.4879450798034668,0.19932087955789435,0.9857316116144682,0.6692421734333038,0.9583987441130298,0.9414039592953239
24,0.4745910167694092,0.16667322421239483,0.9926161090104872,0.46594149619340897,0.9607535321821036,0.9481954708339273
25,0.4850900173187256,0.1442967385260595,0.993721909110366,0.6222659014165401,0.9560439560439561,0.9384368417173409
26,0.47208499908447266,0.20729401205769843,0.9922772347863308,0.586393840610981,0.956828885400314,0.9395061881334797
27,0.47510290145874023,0.1790136926703983,0.9930619961475351,0.5315150991082191,0.9587912087912087,0.9454907607469362
28,0.4747591018676758,0.20309401091395152,0.9910465862880786,0.5038017518818378,0.9587912087912087,0.9463434178190739
29,0.48671793937683105,0.11096669133338663,0.997074980380966,0.5124284960329533,0.9587912087912087,0.9463434178190739
30,0.47382688522338867,0.14555129719277224,0.9948455446957266,0.5201087333261967,0.9591836734693877,0.9464268206547704
