epoch,time_s,train_loss,train_auroc,train_auprc,val_loss,val_auroc,val_auprc
1,0.6813318729400635,0.8462141752243042,0.7964436041949062,0.5777963183670687,0.7314668893814087,0.902668759811617,0.8248340880201379
2,0.453963041305542,0.561386783917745,0.9181529571234929,0.7837461822140844,0.6620673686265945,0.9187598116169545,0.837521230986595
3,0.46523499488830566,0.36319952954848606,0.9632232289362916,0.9039158284806058,0.5769690498709679,0.9423076923076923,0.8863434396391858
4,0.4606490135192871,0.33344898124535877,0.9676999357922522,0.9167175443165083,0.6306277066469193,0.9521193092621664,0.8973219601131229
5,0.5173418521881104,0.3420804573429955,0.9718734393950204,0.9238765213923463,0.4967309311032295,0.9493720565149136,0.9012907512140692
6,0.46810388565063477,0.30479396382967633,0.9803631304844118,0.9416304442372784,0.5440798699855804,0.9580062794348508,0.9197156480797034
7,0.4594590663909912,0.283505720189876,0.979471356210316,0.9398997763763,0.4965185821056366,0.9591836734693877,0.9251785905351918
8,0.45004892349243164,0.2778234879175822,0.9770814011557395,0.9535920909862421,0.5306055247783661,0.9587912087912088,0.924638736003583
9,0.4501199722290039,0.2680129793783029,0.9787401013055576,0.9537160348777168,0.5145912617444992,0.9583987441130298,0.9273911940209069
10,0.44946789741516113,0.2608651676111751,0.9821288435471214,0.9621421000951758,0.5279472470283508,0.957221350078493,0.9249178470119647
11,0.44786906242370605,0.24882694561448362,0.9805949917956767,0.9538895922492958,0.7146070301532745,0.9419152276295133,0.898711016935794
12,0.4558870792388916,0.2905728701088164,0.9748341299850182,0.9415145135861367,0.5464441888034344,0.9544740973312402,0.9259058190060472
13,0.45127177238464355,0.3381535822732581,0.9722836555611044,0.938939079854798,0.4144994653761387,0.957613814756672,0.9313108835846575
14,0.45748400688171387,0.2662143512732453,0.9783298851394735,0.9392823547396646,0.6667821556329727,0.9368131868131868,0.8955106937807628
15,0.48568201065063477,0.23911351689861882,0.9842691018049511,0.9641358324581367,0.6513675451278687,0.945054945054945,0.9074123443843941
16,0.45663905143737793,0.23735371169944605,0.9837340372404937,0.9580883442830732,0.5514569580554962,0.9580062794348508,0.9292905996011901
17,0.45058488845825195,0.22143562758962312,0.983876721124349,0.9635971601095682,0.6655672937631607,0.9442700156985872,0.9131571933455728
18,0.4499979019165039,0.21553234342071745,0.9871762859385033,0.9694020433938285,0.6364277079701424,0.9466248037676609,0.9196967219741748
19,0.44898390769958496,0.2305472844487263,0.9870871085110937,0.9701578583095167,0.6239171549677849,0.9497645211930926,0.9236500116036106
20,0.4505429267883301,0.17174278220368755,0.9907968894913319,0.9820855209847291,0.5922058299183846,0.9529042386185244,0.9285900366742759
21,0.4932677745819092,0.243271565478709,0.9908860669187415,0.9769541573251358,0.4878745526075363,0.957221350078493,0.9348539130577779
22,0.4489579200744629,0.19852318769941726,0.9877291859884426,0.9547709927132375,0.5493643134832382,0.9580062794348508,0.9375195408503249
